date-time,server name,server id,latency,jitter,packet loss,download(byte),upload(byte),download bytes,upload bytes,
2020/10/1 12:05,Boingo Wireless - Tokyo,34122,19.553,0.168,N/A,38927239,25666798,579505893,313282139,https://www.speedtest.net/result/c/fe35e783-79e0-46d4-88f6-49a95f39d550
2020/10/1 18:05,Boingo Wireless - Tokyo,34122,19.911,0.156,N/A,35727339,24068567,367460216,317185101,https://www.speedtest.net/result/c/63295344-aa1a-456a-a8cc-9d3e17bcdc82
2020/10/2 0:05,Boingo Wireless - Tokyo,34122,20.39,0.155,N/A,29332857,22918248,348417755,337498277,https://www.speedtest.net/result/c/977fcb4a-230b-46ad-a714-dcf77f6b8d05
2020/10/2 2:05,Boingo Wireless - Tokyo,34122,19.518,0.413,N/A,41055228,22751064,610440671,294245327,https://www.speedtest.net/result/c/e54db61d-75c8-4a84-bc4c-cf0ef9ec64dc
2020/10/2 8:05,Boingo Wireless - Tokyo,34122,19.986,0.673,N/A,29561396,20460604,391916615,303808041,https://www.speedtest.net/result/c/868d1360-685b-4447-b3bf-2fcb92e66d30
2020/10/2 12:05,Boingo Wireless - Tokyo,34122,19.575,0.446,N/A,30247246,18967460,414433492,203796400,https://www.speedtest.net/result/c/b6b70605-60de-47a5-afa7-0a3c74fe7c36
2020/10/1 14:00,Boingo Wireless - Tokyo,34122,19.574,0.285,N/A,37077069,24230083,417539356,346300375,https://www.speedtest.net/result/c/63e7c836-0d92-42e5-807a-ded929b06a2f
2020/10/1 22:00,Boingo Wireless - Tokyo,34122,19.96,0.635,N/A,28225331,23879055,399644072,275125891,https://www.speedtest.net/result/c/a8965f9f-4e0b-4c78-be9f-9be8e2494abd
2020/10/2 6:00,Boingo Wireless - Tokyo,34122,19.754,0.534,N/A,42836274,26023753,428920764,269977733,https://www.speedtest.net/result/c/31f1e130-a39e-4057-8c70-e7181e7c50c4
2020/10/2 14:00,Boingo Wireless - Tokyo,34122,20.187,0.328,N/A,28218218,23409846,370410648,341716664,https://www.speedtest.net/result/c/bf464dea-178f-4162-998b-e539689942ed
